證券代號","證券名稱","暫停現股賣出後現款買進當沖註記","當日沖銷交易成交股數","當日沖銷交易買進成交金額","當日沖銷交易賣出成交金額",
"2342","茂矽","","1,009,000","31,890,750","31,851,750",
"2344","華邦電","","300,058,000","13,258,885,400","13,274,483,600",
"2345","智邦","","1,946,000","1,893,519,000","1,897,021,000",
"2347","聯強","","1,050,000","62,205,600","62,646,300",
"2348","海悅","","70,000","6,061,800","6,060,400",
"2351","順德","","2,199,000","184,390,400","184,090,000",
"2352","佳世達","","984,000","30,794,000","30,841,050",
"2353","宏碁","","5,320,000","164,107,950","164,128,550",
"2354","鴻準","","1,691,000","113,213,500","113,259,800",
"2355","敬鵬","","518,000","17,356,750","17,368,500",
"2356","英業達","","3,875,000","170,782,700","171,169,150",
"2357","華碩","","522,000","359,563,000","359,562,000",
"2359","所羅門","","312,000","40,799,500","40,788,000",
"2360","致茂","","1,490,000","997,547,000","996,768,000",
"2362","藍天","","34,000","1,338,000","1,341,250",
"2363","矽統","","1,559,000","87,730,600","87,676,200",
"2364","倫飛","","23,000","1,634,300","1,633,500",
"2365","昆盈","","392,000","15,222,900","15,226,250",
"2367","燿華","","681,000","18,153,950","18,159,850",
"2368","金像電","","2,449,000","989,873,000","991,892,500",
"2369","菱生","","8,654,000","181,889,600","181,845,650",
"2371","大同","","1,921,000","71,472,850","71,564,300",
"2373","震旦行","","1,000","56,900","57,300",
"2374","佳能","","7,817,000","640,159,900","638,801,500",
"2375","凱美","","15,843,000","1,323,791,000","1,334,573,900",
"2376","技嘉","","471,000","132,018,500","132,480,500",
"2377","微星","","1,194,000","130,503,500","130,129,000",
"2379","瑞昱","","285,000","152,484,000","152,968,000",
"2382","廣達","","2,417,000","698,120,000","699,098,000",
"2383","台光電","","1,554,000","1,719,880,000","1,724,205,000",
"2385","群光","","262,000","34,280,000","34,377,500",
"2387","精元","","321,000","13,930,600","13,928,750",
"2388","威盛","","742,000","40,310,600","40,352,400",
"2390","云辰","","50,000","508,700","507,850",
"2392","正崴","","882,000","42,788,200","42,737,800",
"2393","億光","","237,000","14,911,400","14,918,700",
"2395","研華","","152,000","49,388,000","49,473,500",
"2397","友通","","38,000","2,627,500","2,631,600",
"2399","映泰","","1,286,000","27,497,600","27,437,800",
"2401","凌陽","","302,000","6,864,650","6,868,850",
"2402","毅嘉","","2,142,000","107,189,700","107,532,150",
"2404","漢唐","","891,000","777,442,000","778,691,000",
"2405","輔信","","457,000","8,547,300","8,514,850",
"2406","國碩","","1,001,000","20,196,250","20,154,850",
"2408","南亞科","","141,200,000","14,228,540,100","14,298,649,800",
"2409","友達","","10,098,000","133,653,450","133,605,700",
"2412","中華電","","1,117,000","148,074,000","148,547,000",
"2413","環科","","98,000","2,063,500","2,063,350",
"2414","精技","","4,000","169,600","171,000",
"2415","錩新","","3,000","72,100","73,050",
"2417","圓剛","","43,000","1,725,550","1,730,200",
"2419","仲琦","","225,000","5,353,200","5,363,200",
"2420","新巨","","88,000","4,439,850","4,430,450",
"2421","建準","","4,512,000","617,977,000","618,391,000",
"2423","固緯","","45,000","2,491,700","2,500,300",
"2425","承啟","","65,000","1,952,500","1,941,400",
"2426","鼎元","","113,000","1,958,150","1,960,650",
"2427","三商電","","110,000","2,839,700","2,837,350",
"2428","興勤","","857,000","149,587,000","149,506,000",
"2430","燦坤","","10,000","246,100","246,500",
"2431","聯昌","","84,000","1,065,600","1,067,950",
"2433","互盛電","","0","0","0",
"2434","統懋","","0","0","0",
"2436","偉詮電","","170,000","8,621,800","8,661,900",
"2439","美律","","239,000","24,196,500","24,282,000",
"2441","超豐","","442,000","29,187,600","29,349,200",
"2442","新美齊","","55,000","1,389,900","1,397,800",
"2449","京元電子","","21,720,000","3,827,046,000","3,846,790,500",
"2450","神腦","","1,000","28,950","28,950",
"2451","創見","","9,732,000","1,336,244,000","1,334,762,500",
"2453","凌群","","79,000","4,599,000","4,590,800",
"2454","聯發科","","1,894,000","2,543,115,000","2,547,820,000",
"2455","全新","","1,168,000","167,013,000","167,438,000",
"2457","飛宏","","4,920,000","134,508,750","134,620,550",
"2458","義隆","","112,000","14,345,500","14,390,000",
"2459","敦吉","","11,000","707,300","707,500",
"2461","光群雷","","9,000","137,750","138,350",
"2462","良得電","","45,000","1,074,800","1,074,500",
"2464","盟立","","252,000","15,760,900","15,769,300",
"2467","志聖","","276,000","50,633,500","50,571,000",
"2468","華經","","150,000","6,930,050","6,920,250",
"2471","資通","","15,000","752,600","753,500",
"2472","立隆電","","3,097,000","277,162,000","277,238,000",
"2474","可成","","612,000","109,982,500","110,301,500",
"2476","鉅祥","","353,000","35,071,300","35,042,700",
"2477","美隆電","","19,000","446,550","446,700",
"2478","大毅","","4,063,000","234,447,900","235,991,000",
"2480","敦陽科","","34,000","5,645,500","5,647,000",
"2481","強茂","","22,506,000","1,878,958,100","1,878,224,800",
"2482","連宇","","7,000","127,200","128,000",
"2483","百容","","12,000","239,250","239,950",
"2484","希華","","142,000","3,150,200","3,166,300",
"2485","兆赫","","763,000","10,789,300","10,835,450",
"2486","一詮","","1,127,000","90,450,700","90,246,700",
"2488","漢平","","30,000","1,362,800","1,366,850",
"2489","瑞軒","","434,000","6,603,050","6,619,000",
"2492","華新科","","14,517,000","1,485,886,300","1,492,188,000",
"2493","揚博","","105,000","9,675,900","9,690,200",
"2495","普安","","967,000","22,386,200","22,535,050",
"2496","卓越","","0","0","0",
"2497","怡利電","","38,000","1,682,050","1,678,400",
"2498","宏達電","","5,868,000","303,482,300","303,974,300",
"2501","國建","","699,000","16,514,350","16,528,000",
"2504","國產","","819,000","28,046,600","28,167,500",
"2505","國揚","","11,000","203,100","203,250",
"2506","太設","","10,000","95,060","94,870",
"2509","全坤建","","21,000","314,050","314,950",
"2511","太子","","89,000","804,570","806,750",
"2514","龍邦","","39,000","573,450","576,650",
"2515","中工","","485,000","5,430,650","5,434,150",
"2520","冠德","","451,000","15,090,800","15,139,500",
"2524","京城","","4,000","174,950","175,550",
"2527","宏璟","","319,000","7,565,600","7,598,650",
"2528","皇普","","119,000","3,634,100","3,670,600",
"2530","華建","","91,000","2,794,550","2,792,250",
"2534","宏盛","","333,000","7,115,750","7,118,250",
"2535","達欣工","","89,000","5,447,000","5,463,500",
"2536","宏普","","23,000","602,900","604,500",
"2537","聯上發","","137,000","1,523,300","1,523,350",
"2538","基泰","","75,000","806,550","805,900",
"2539","櫻花建","","97,000","4,762,400","4,748,300",
"2540","愛山林","","230,000","11,520,750","11,544,800",
"2542","興富發","","675,000","25,994,200","26,026,800",
"2543","皇昌","","488,000","35,836,300","35,862,300",
"2545","皇翔","","48,000","2,020,250","2,022,450",
"2546","根基","","22,000","1,900,900","1,906,800",
"2547","日勝生","","142,000","1,508,600","1,509,800",
"2548","華固","","853,000","89,025,500","89,164,000",
"2597","潤弘","","78,000","13,008,000","13,037,500",
"2603","長榮","","9,476,000","1,786,103,000","1,788,649,500",
"2605","新興","","6,202,000","158,645,300","158,084,550",
"2606","裕民","","6,343,000","365,597,200","365,650,000",
"2607","榮運","","362,000","21,367,900","21,329,000",
"2608","嘉里大榮","","6,000","203,550","204,050",
"2609","陽明","","34,403,000","1,899,720,700","1,900,618,400",
"2610","華航","","5,832,000","122,743,050","123,060,500",
"2611","志信","","214,000","3,285,200","3,311,850",
"2612","中航","","2,179,000","127,923,500","127,939,900",
"2613","中櫃","","2,692,000","71,344,900","71,066,300",
