證券代號","證券名稱","暫停現股賣出後現款買進當沖註記","當日沖銷交易成交股數","當日沖銷交易買進成交金額","當日沖銷交易賣出成交金額",
"4583","台灣精銳","","34,000","20,324,000","20,277,000",
"4588","玖鼎電力","","2,000","119,500","120,200",
"4720","德淵","","39,000","588,650","591,900",
"4736","泰博","","3,000","362,500","367,500",
"4737","華廣","","2,000","124,200","125,500",
"4739","康普","","361,000","24,179,400","24,245,300",
"4746","台耀","","21,000","1,308,700","1,308,800",
"4755","三福化","","10,000","1,185,000","1,197,000",
"4763","材料*-KY","","1,089,000","65,161,600","65,281,400",
"4764","雙鍵","","0","0","0",
"4766","南寶","","137,000","50,398,000","50,347,000",
"4770","上品","","56,000","14,374,000","14,359,500",
"4771","望隼","","7,000","1,231,500","1,234,000",
"4807","日成-KY","","8,000","145,250","145,500",
"4904","遠傳","","1,144,000","105,988,400","106,306,500",
"4906","正文","","4,629,000","123,042,650","123,581,050",
"4912","聯德控股-KY","","87,000","7,102,400","7,123,700",
"4915","致伸","","378,000","28,812,000","28,894,400",
"4916","事欣科","","867,000","47,154,000","47,235,000",
"4919","新唐","","257,000","15,929,100","15,938,000",
"4927","泰鼎-KY","","1,464,000","33,688,800","33,588,300",
"4930","燦星網","","5,000","114,800","114,800",
"4935","茂林-KY","","13,000","561,550","561,550",
"4938","和碩","","11,363,000","855,350,400","856,760,400",
"4942","嘉彰","","0","0","0",
"4949","有成精密","","70,000","2,629,350","2,631,250",
"4952","凌通","","40,000","1,576,150","1,589,750",
"4956","光鋐","","63,000","1,241,150","1,233,850",
"4958","臻鼎-KY","","3,288,000","488,655,000","491,496,000",
"4960","誠美材","","45,000","628,750","628,350",
"4961","天鈺","","52,000","8,274,000","8,273,500",
"4968","立積","","478,000","71,403,500","71,517,500",
"4976","佳凌","","108,000","3,807,700","3,814,050",
"4977","眾達-KY","","448,000","50,274,500","50,286,500",
"4994","傳奇","","4,000","392,500","395,000",
"4999","鑫禾","","5,000","125,350","125,800",
"5007","三星","","7,000","357,700","359,800",
"5203","訊連","","9,000","859,200","859,400",
"5215","科嘉-KY","","1,000","34,650","34,700",
"5222","全訊","","502,000","76,355,000","75,943,000",
"5225","東科-KY","","40,000","4,316,500","4,306,000",
"5234","達興材料","","565,000","206,266,000","206,608,000",
"5243","乙盛-KY","","329,000","24,563,900","24,545,400",
"5244","弘凱","","20,000","834,050","837,400",
"5258","虹堡","","81,000","5,836,700","5,869,700",
"5269","祥碩","","160,000","231,645,000","232,300,000",
"5283","禾聯碩","","85,000","5,770,100","5,806,500",
"5284","jpp-KY","","464,000","127,424,000","127,582,500",
"5285","界霖","","200,000","10,352,000","10,319,600",
"5288","豐祥-KY","","36,000","4,287,500","4,310,000",
"5292","華懋","","0","0","0",
"5306","桂盟","","4,000","368,000","370,300",
"5388","中磊","","77,000","7,547,900","7,562,600",
"5434","崇越","","343,000","111,159,500","111,827,000",
"5469","瀚宇博","","16,915,000","1,626,930,400","1,620,731,500",
"5471","松翰","","45,000","1,648,150","1,650,500",
"5515","建國","","14,000","355,900","356,700",
"5519","隆大","","19,000","538,000","537,000",
"5521","工信","","150,000","1,757,600","1,752,950",
"5522","遠雄","","573,000","31,950,700","31,890,900",
"5525","順天","","1,000","28,400","28,400",
"5533","皇鼎","","0","0","0",
"5534","長虹","","99,000","7,705,300","7,714,200",
"5538","東明-KY","","1,000","28,600","28,550",
"5546","永固-KY","","4,000","97,150","97,150",
"5607","遠雄港","","144,000","7,023,850","7,095,450",
"5608","四維航","","2,375,000","43,108,000","43,025,650",
"5706","鳳凰","","195,000","10,517,800","10,508,600",
"5871","中租-KY","","1,286,000","137,359,000","137,425,000",
"5876","上海商銀","","603,000","24,723,900","24,742,000",
"5880","合庫金","","1,591,000","38,373,850","38,416,300",
"5906","台南-KY","","0","0","0",
"5907","大洋-KY","","13,000","76,660","76,700",
"6005","群益證","","640,000","15,857,100","15,882,550",
"6024","群益期","","12,000","589,700","590,050",
"6108","競國","","9,000","133,200","134,650",
"6112","邁達特","","114,000","5,751,600","5,735,900",
"6115","鎰勝","","8,000","374,500","374,500",
"6116","彩晶","","1,357,000","10,406,560","10,394,960",
"6117","迎廣","","133,000","10,715,300","10,736,700",
"6120","達運","","1,325,000","15,935,550","15,863,200",
"6128","上福","","1,000","28,000","28,050",
"6133","金橋","","57,000","954,850","959,750",
"6136","富爾特","","2,000","47,000","47,100",
"6139","亞翔","","7,007,000","3,020,235,500","3,024,972,000",
"6153","嘉聯益","","737,000","10,675,500","10,706,050",
"6155","鈞寶","","420,000","10,334,650","10,374,200",
"6164","華興","","35,000","354,430","355,810",
"6165","浪凡","","78,000","4,181,500","4,204,500",
"6166","凌華","","103,000","6,027,800","6,037,900",
"6168","宏齊","","83,000","1,666,450","1,666,450",
"6176","瑞儀","","543,000","72,279,500","72,545,000",
"6177","達麗","","145,000","6,870,750","6,886,350",
"6183","關貿","","4,000","392,200","391,900",
"6184","大豐電","","1,000","48,550","48,500",
"6189","豐藝","","122,000","5,994,150","5,994,600",
"6191","精成科","","2,939,000","316,565,000","316,725,500",
"6192","巨路","","3,000","299,900","301,000",
"6196","帆宣","","895,000","214,080,500","213,879,000",
"6197","佳必琪","","585,000","96,973,500","96,769,000",
"6201","亞弘電","","2,000","112,400","112,600",
"6202","盛群","","544,000","22,452,300","22,507,100",
"6205","詮欣","","22,000","892,650","899,900",
"6206","飛捷","","146,000","15,680,000","15,688,500",
"6209","今國光","","1,752,000","71,026,800","71,028,050",
"6213","聯茂","","1,242,000","122,556,800","122,685,800",
"6214","精誠","","316,000","40,607,500","40,538,000",
"6215","和椿","","330,000","38,106,500","38,161,000",
"6216","居易","","5,000","134,450","135,100",
"6224","聚鼎","","148,000","6,680,350","6,750,450",
"6230","尼得科超眾","","20,000","2,681,500","2,682,500",
"6235","華孚","","667,000","47,684,100","47,619,200",
"6239","力成","","1,440,000","222,457,500","222,834,500",
"6243","迅杰","","11,000","368,750","367,250",
"6257","矽格","","762,000","70,621,900","70,849,900",
"6269","台郡","","337,000","20,978,100","21,001,500",
"6271","同欣電","","953,000","106,045,500","107,215,000",
"6277","宏正","","30,000","1,800,800","1,805,500",
"6278","台表科","","194,000","20,631,000","20,632,500",
"6281","全國電","","1,000","67,600","67,800",
"6282","康舒","","25,003,000","915,710,500","917,523,150",
"6283","淳安","","106,000","2,764,350","2,769,850",
"6285","啟碁","","239,000","28,494,500","28,462,500",
"6405","悅城","","2,000","53,000","53,000",
"6409","旭隼","","303,000","320,525,000","322,940,000",
"6412","群電","","84,000","8,402,400","8,411,700",
"6414","樺漢","","268,000","79,913,500","80,149,500",
"6415","矽力*-KY","","1,009,000","233,292,500","234,164,500",
"6416","瑞祺電通","","13,000","1,102,300","1,102,500",
"6426","統新","","26,000","1,861,100","1,883,300",
"6438","迅得","","148,000","23,914,500","23,943,500",
"6442","光聖","","2,418,000","1,901,660,000","1,904,875,000",
"6443","元晶","","447,000","6,371,350","6,366,000",
"6446","藥華藥","","372,000","192,300,000","192,278,000",
"6449","鈺邦","","3,100,000","633,091,500","632,366,500",
"6451","訊芯-KY","","147,000","20,680,000","20,628,000",
"6456","GIS-KY","","154,000","8,025,200","8,024,500",
"6464","台數科","","4,000","309,200","311,000",
"6472","保瑞","","108,000","69,984,000","70,112,000",
"6477","安集","","171,000","6,683,100","6,683,100",
"6491","晶碩","","14,000","4,270,500","4,279,000",
"6504","南六","","26,000","1,215,050","1,216,700",
"6505","台塑化","","2,681,000","115,993,500","116,750,150",
"6515","穎崴","","409,000","984,585,000","987,035,000",
"6525","捷敏-KY","","29,000","2,267,100","2,272,900",
"6526","達發","","55,000","27,924,000","27,909,000",
"6531","愛普*","","3,554,000","1,344,028,500","1,341,656,500",
"6533","晶心科","","197,000","54,423,000","54,571,500",
"6541","泰福-KY","","579,000","36,256,700","36,346,600",
"6552","易華電","","39,000","1,064,300","1,054,900",
"6558","興能高","","282,000","11,618,050","11,652,000",
"6579","研揚","","926,000","132,512,000","132,395,000",
"6581","鋼聯","","1,000","111,500","111,500",
"6582","申豐","","58,000","2,052,900","2,064,050",
"6585","鼎基","","15,000","1,410,900","1,412,100",
"6589","台康生技","","176,000","12,426,100","12,419,600",
"6591","動力-KY","","202,000","16,010,500","16,063,900",
"6592","和潤企業","","31,000","2,026,600","2,027,400",
"6605","帝寶","","22,000","2,842,000","2,848,500",
"6606","建德工業","","3,000","76,700","76,350",
"6625","必應","","45,000","3,684,900","3,691,200",
"6641","基士德-KY","","8,000","161,600","164,950",
"6655","科定","Y","0","0","0",
"6657","華安","","36,000","1,817,400","1,824,700",
"6658","聯策","","12,000","693,800","695,500",
"6666","羅麗芬-KY","","1,000","49,600","50,100",
"6668","中揚光","","19,000","772,500","773,850",
"6669","緯穎","","773,000","2,958,720,000","2,967,465,000",
"6670","復盛應用","","78,000","19,533,500","19,622,500",
"6671","三能-KY","","1,000","36,550","36,700",
"6672","騰輝電子-KY","","104,000","9,221,200","9,240,800",
"6674","鋐寶科技","","4,000","83,700","83,950",
"6689","伊雲谷","","39,000","2,785,000","2,790,900",
"6691","洋基工程","","145,000","66,625,500","66,814,000",
"6695","芯鼎","","172,000","8,743,100","8,749,400",
"6698","旭暉應材","","19,000","661,550","660,300",
"6706","惠特","","480,000","34,104,400","34,118,300",
"6715","嘉基","","1,000","97,600","97,600",
"6719","力智","","57,000","10,828,500","10,813,000",
"6742","澤米","","48,000","2,342,800","2,344,650",
"6743","安普新","","18,000","541,700","541,150",
"6753","龍德造船","","342,000","46,785,500","46,829,500",
"6754","匯僑設計","","2,000","96,000","96,200",
"6756","威鋒電子","","14,000","1,210,100","1,212,000",
"6757","台灣虎航","","288,000","21,681,400","21,652,100",
"6768","志強-KY","","106,000","12,514,500","12,561,000",
"6770","力積電","","140,201,000","4,156,456,600","4,164,805,150",
"6776","展碁國際","","1,000","52,400","52,400",
"6781","AES-KY","","547,000","588,885,000","591,340,000",
"6782","視陽","","27,000","5,101,000","5,111,000",
"6789","采鈺","","216,000","53,645,500","53,697,500",
"6790","永豐實","","10,000","383,500","384,700",
"6792","詠業","","0","0","0",
"6796","晉弘","","5,000","424,200","426,300",
"6799","來頡","","20,000","1,596,300","1,593,300",
"6805","富世達","","1,021,000","1,193,365,000","1,196,880,000",
"6806","森崴能源","","1,163,000","71,745,400","71,880,200",
"6807","峰源-KY","","0","0","0",
"6830","汎銓","","15,000","2,430,500","2,435,000",
"6834","天二科技","","329,000","9,575,500","9,642,550",
"6835","圓裕","","5,000","195,800","195,250",
"6838","台新藥","","115,000","3,448,450","3,457,450",
"6861","睿生光電","","73,000","4,770,500","4,723,700",
"6862","三集瑞-KY","","215,000","35,732,500","35,692,500",
"6863","永道-KY","","6,000","811,500","812,000",
"6869","雲豹能源","","152,000","18,654,500","18,676,000",
"6873","泓德能源","","280,000","37,564,000","37,587,500",
"6885","全福生技","","325,000","10,771,300","10,784,150",
"6887","寶綠特-KY","","7,000","467,700","468,200",
"6890","來億-KY","","94,000","22,148,000","22,223,000",
"6901","鑽石投資","","70,000","1,278,900","1,287,250",
"6902","GOGOLOOK","","9,000","725,800","725,400",
"6906","現觀科","","14,000","1,423,000","1,426,000",
"6914","阜爾運通","","22,000","3,326,500","3,334,500",
"6916","華凌","","2,000","34,950","35,250",
"6919","康霈*","","2,478,000","403,958,000","404,762,500",
"6923","中台","","973,000","107,533,000","107,690,500",
"6928","攸泰科技","","29,000","1,670,800","1,673,100",
"6931","青松健康","","0","0","0",
"6933","AMAX-KY","","54,000","9,103,500","9,107,000",
"6937","天虹","","473,000","134,159,000","134,122,500",
"6944","兆聯實業","","294,000","163,837,000","164,180,000",
"6952","大武山","","1,000","45,150","45,400",
"6957","裕慶-KY","","15,000","2,854,000","2,848,000",
"6958","日盛台駿","","1,000","18,100","18,000",
"6962","奕力-KY","","336,000","14,642,450","14,665,400",
"6965","中傑-KY","","18,000","1,706,400","1,700,200",
"6994","富威電力","","12,000","1,161,500","1,165,200",
"7705","三商餐飲","","5,000","203,500","205,100",
"7722","LINEPAY","","12,000","6,897,000","6,901,000",
"7732","金興精密","","2,000","72,950","73,600",
"7736","虎山","","3,000","288,300","286,700",
"7749","意騰-KY","","20,000","10,111,000","10,097,000",
"8011","台通","","212,000","4,594,700","4,611,650",
"8016","矽創","","22,000","4,612,000","4,620,500",
"8021","尖點","","8,216,000","825,650,300","825,531,000",
"8028","昇陽半導體","","6,034,000","1,091,417,500","1,091,165,500",
"8039","台虹","","2,186,000","136,988,900","137,273,700",
"8045","達運光電","","94,000","8,565,000","8,512,200",
"8046","南電","","19,666,000","5,564,380,500","5,571,347,000",
"8070","長華*","","1,358,000","60,994,000","60,968,250",
"8072","陞泰","","49,000","1,611,900","1,616,150",
"8081","致新","","48,000","10,659,500","10,706,000",
"8103","瀚荃","","2,591,000","178,165,000","179,063,900",
"8104","錸寶","","173,000","5,877,600","5,873,900",
"8105","凌巨","","274,000","3,414,150","3,406,050",
"8110","華東","","23,279,000","541,626,300","542,371,800",
"8112","至上","","19,000,000","1,017,734,200","1,022,916,500",
"8114","振樺電","","85,000","17,584,000","17,730,000",
"8131","福懋科","","1,821,000","62,584,050","62,903,400",
"8150","南茂","","1,180,000","37,048,700","37,125,100",
"8163","達方","","181,000","6,721,950","6,741,600",
"8210","勤誠","","6,456,000","4,540,384,000","4,564,153,000",
"8213","志超","","124,000","4,289,400","4,285,900",
"8215","明基材","","60,000","1,360,100","1,363,250",
"8222","寶一","","219,000","10,162,500","10,138,100",
"8249","菱光","","155,000","8,509,900","8,489,600",
"8261","富鼎","","248,000","23,220,200","23,184,200",
"8271","宇瞻","","35,079,000","3,993,247,500","3,997,158,500",
"8341","日友","","30,000","2,416,600","2,420,900",
"8367","建新國際","","1,000","44,400","43,800",
"8374","羅昇","","52,000","4,694,200","4,704,900",
"8404","百和興業-KY","","140,000","3,583,150","3,595,750",
"8411","福貞-KY","","32,000","405,050","406,500",
"8422","可寧衛","","162,000","33,744,500","33,742,000",
"8429","金麗-KY","","13,000","104,160","104,160",
"8438","昶昕","","19,000","598,200","603,000",
"8442","威宏-KY","","18,000","1,183,400","1,183,900",
"8443","阿瘦","","0","0","0",
"8454","富邦媒","","43,000","10,165,500","10,212,500",
"8462","柏文","","2,000","323,000","326,000",
"8463","潤泰材","","0","0","0",
"8464","億豐","","114,000","45,278,500","45,511,000",
"8466","美吉吉-KY","","4,000","94,500","94,700",
"8467","波力-KY","","10,000","1,538,500","1,540,500",
"8473","山林水","","207,000","8,644,650","8,674,050",
"8476","台境*","","130,000","2,586,450","2,592,600",
"8478","東哥遊艇","","108,000","21,370,500","21,398,000",
"8481","政伸","","0","0","0",
"8482","商億-KY","","0","0","0",
"8488","吉源-KY","","230,000","2,424,850","2,425,200",
"8499","鼎炫-KY","","148,000","42,274,500","42,313,500",
"8926","台汽電","","174,000","8,534,500","8,565,100",
"8940","新天地","","2,000","40,700","40,850",
"8996","高力","","4,491,000","2,441,277,000","2,446,249,000",
"9103","美德醫療-DR","","19,000","91,330","91,390",
"9105","泰金寶-DR","","7,044,000","44,691,940","44,825,980",
"911868","同方友友-DR","","1,000","1,280","1,290",
"912000","晨訊科-DR","","90,000","268,240","270,470",
"9136","巨騰-DR","","19,000","141,740","141,820",
"9802","鈺齊-KY","","270,000","28,229,500","28,245,000",
"9902","台火","","294,000","4,527,000","4,556,900",
"9904","寶成","","1,400,000","40,892,850","40,954,100",
"9905","大華","","3,000","61,000","61,000",
"9906","欣巴巴","","36,000","1,919,800","1,912,300",
"9907","統一實","","438,000","7,963,450","7,983,000",
"9908","大台北","","2,000","59,900","59,950",
"9910","豐泰","","222,000","28,861,500","28,870,500",
"9911","櫻花","","5,000","423,100","423,900",
"9914","美利達","","187,000","19,183,000","19,212,500",
"9917","中保科","","145,000","15,722,000","15,783,000",
"9918","欣天然","","0","0","0",
"9919","康那香","","32,000","545,900","546,300",
"9921","巨大","","192,000","19,741,500","19,800,000",
"9924","福興","","10,000","523,700","523,400",
"9925","新保","","14,000","569,250","569,000",
"9926","新海","","0","0","0",
"9927","泰銘","","28,000","1,533,400","1,529,200",
"9928","中視","","6,000","106,300","106,300",
"9930","中聯資源","","17,000","1,176,200","1,180,000",
"9931","欣高","","0","0","0",
"9933","中鼎","","505,000","15,731,700","15,803,600",
"9934","成霖","","67,000","688,750","687,000",
"9935","慶豐富","","106,000","2,016,050","2,009,800",
"9937","全國","","1,000","60,100","60,400",
"9938","百和","","381,000","22,220,200","22,290,800",
"9939","宏全","","390,000","50,387,500","50,589,500",
"9940","信義","","77,000","1,785,850","1,792,450",
"9941","裕融","","172,000","17,094,000","17,106,900",
"9942","茂順","","10,000","1,049,000","1,054,000",
"9943","好樂迪","","33,000","2,126,700","2,114,900",
"9944","新麗","","1,000","16,800","16,950",
"9945","潤泰新","","2,269,000","68,503,850","68,619,950",
"9946","三發地產","","16,000","293,750","295,950",
"9955","佳龍","","3,786,000","118,620,000","118,276,500",
"9958","世紀鋼","","268,000","44,987,000","44,881,500",
